"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
5.728466302E0;-9.134477615E0;-2.771887064E0;-1.783680320E0
5.745132291E0;-7.884704590E0;-2.113481522E0;1.098938584E0
5.761798281E0;-6.650493622E0;-2.519897223E0;1.498171687E0
5.778464271E0;-6.374562263E0;-3.666121244E0;-2.992752008E-3
5.795130260E0;-6.197391033E0;-5.836465359E0;-8.469488621E-1
5.811796250E0;-4.781819344E0;-8.434772491E0;-7.733271718E-1
5.828462239E0;-2.984971046E0;-1.065479565E1;-9.828197956E-1
5.845128229E0;-1.225831270E0;-1.185548782E1;-8.343793154E-1
5.861794218E0;-4.135983288E-1;-1.208592987E1;1.316810958E-2
5.878460208E0;-1.981201887E0;-1.142872143E1;9.295488000E-1
5.895126198E0;-5.307945251E0;-1.006821632E1;1.115697980E0
5.911792187E0;-8.134899139E0;-8.734646797E0;5.057750940E-1
5.928458177E0;-9.866505623E0;-6.958747387E0;-3.914519846E-1
5.945124166E0;-1.084034634E1;-5.055955410E0;-7.900865674E-1
5.961790156E0;-1.123778439E1;-3.637989521E0;-6.045359373E-1
5.978456146E0;-1.073679733E1;-3.766677856E0;6.973112226E-1
5.995122135E0;-8.921394348E0;-6.083666325E0;2.266710520E0
6.011788125E0;-7.520187378E0;-9.356540680E0;2.151788712E0
6.028454114E0;-7.838017941E0;-1.200512600E1;1.156399369E0
6.045120104E0;-7.044938564E0;-1.284429359E1;3.842693865E-1
6.061786093E0;-6.145317078E0;-1.266113758E1;1.075595140E0
6.078452083E0;-5.178059578E0;-1.423951435E1;1.330577612E0
6.095118073E0;-2.653373957E0;-1.721071815E1;-7.858967185E-1
6.111784062E0;1.580173075E-1;-1.884057236E1;-3.806780815E0
6.128450052E0;1.398213744E0;-1.797027969E1;-4.492719650E0
6.145116041E0;1.913565755E0;-1.622670174E1;-3.149572372E0
6.161782031E0;1.051054597E0;-1.384506989E1;-1.781884670E0
6.178448021E0;-2.895188332E0;-1.037706852E1;-1.878251195E0
6.195114010E0;-8.452729225E0;-7.030573368E0;-6.494272351E-1
6.211780000E0;-1.104864216E1;-5.127781391E0;2.206256866E0
6.228445989E0;-8.881291389E0;-4.980537891E0;2.366668463E0
6.245111979E0;-6.867168903E0;-5.341464043E0;1.706467271E0
6.261777968E0;-5.894524574E0;-4.986523628E0;1.629254222E0
6.278443958E0;-4.031835556E0;-5.024232388E0;9.846154451E-1
6.295109948E0;-2.558803082E0;-4.933851242E0;-2.693476975E-1
6.311775937E0;-1.232415318E0;-4.577713490E0;-1.328781962E0
6.328441927E0;6.464344263E-2;-4.137180328E0;-2.124854088E0
6.345107916E0;1.219845772E0;-3.790619850E0;-2.692279816E0
6.361773906E0;2.560598612E0;-3.930082083E0;-2.883816004E0
6.378439896E0;3.226186752E0;-3.832518339E0;-2.267308950E0
6.395105885E0;3.071760893E0;-3.588309765E0;-1.076792240E0
6.411771875E0;2.209848166E0;-3.957615376E0;7.110779285E-1
6.428437864E0;-1.164779186E0;-4.769848347E0;4.701613426E0
6.445103854E0;-6.986878872E0;-7.672219276E0;1.055004978E1
6.461769843E0;-1.853710747E1;-1.230380249E1;6.621763229E0
6.478435833E0;-2.801096344E1;-1.192252636E1;-4.970362663E0
6.495101823E0;-3.126887321E1;-8.491635323E0;-2.142810524E-1
6.511767812E0;-1.722508430E1;-4.492120743E0;6.806715488E0
