"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4.845168854E0;4.141212255E-2;7.319692969E-1;-9.137299061E-1
4.861834843E0;1.279647946E-1;8.189214468E-1;-8.470177650E-1
4.878500833E0;-2.783001214E-2;7.223818898E-1;-8.131956458E-1
4.895166823E0;-2.901511788E-1;2.563290596E-1;-6.878939867E-1
4.911832812E0;-4.870918095E-1;-3.791007102E-1;-4.446144104E-1
4.928498802E0;-4.870918095E-1;-8.792420030E-1;-1.504684836E-1
4.945164791E0;-1.954758763E-1;-9.177246094E-1;2.572611570E-1
4.961830781E0;2.475406379E-1;-7.712509036E-1;8.797746301E-1
4.978496771E0;6.563355327E-1;-6.759097576E-1;1.581783295E0
4.995162760E0;9.265130758E-1;-6.427534223E-1;2.008821011E0
5.011828750E0;1.217995763E0;-5.082638860E-1;2.321742058E0
5.028494739E0;1.946503043E0;-5.858949851E-3;2.412822247E0
5.045160729E0;2.927078247E0;6.663224101E-1;2.356096745E0
5.061826718E0;3.311505079E0;1.507081747E0;2.313752651E0
5.078492708E0;2.870486021E0;2.232659340E0;1.877926588E0
5.095158698E0;1.707883954E0;1.569932342E0;1.363537431E0
5.111824687E0;3.668501675E-1;-6.657897960E-3;1.042360425E0
5.128490677E0;-4.036017656E-1;-3.621896505E-1;8.227829933E-1
5.145156666E0;-1.086568907E-1;3.901528120E-1;1.576457024E0
5.161822656E0;6.462155581E-1;6.807034612E-1;2.645315886E0
5.178488646E0;8.153261542E-1;7.936213911E-2;2.443182230E0
5.195154635E0;3.231743574E-1;-6.149234176E-1;1.723862886E0
5.211820625E0;-4.018706977E-1;-1.368464351E0;1.351819515E0
5.228486614E0;-9.896299243E-1;-1.789243460E0;1.071388960E0
5.245152604E0;-1.293895841E0;-1.487107992E0;8.428898454E-1
5.261818593E0;-1.312804222E0;-8.922914863E-1;6.331660748E-1
5.278484583E0;-1.149286270E0;-3.286338449E-1;3.496727943E-1
5.295150573E0;-9.503483176E-1;1.296958476E-1;-9.321057005E-4
5.311816562E0;-8.504798412E-1;5.026713014E-1;-3.375554085E-1
5.328482552E0;-8.980172276E-1;7.211834788E-1;-6.499440074E-1
5.345148541E0;-1.041028857E0;8.894951344E-1;-1.130511045E0
5.361814531E0;-1.040363073E0;6.428865790E-1;-1.742771268E0
5.378480521E0;-5.685844421E-1;-4.075964987E-1;-2.203497887E0
5.395146510E0;4.877575934E-1;-1.480316997E0;-2.085519791E0
5.411812500E0;5.980123878E-1;-1.181643724E0;-8.514119387E-1
5.428478489E0;-4.808333814E-1;-8.327698708E-1;8.757798672E-1
5.445144479E0;-3.888212144E-1;1.102281570E0;2.025598764E0
5.461810468E0;7.576687634E-2;1.293762684E0;1.901495576E0
5.478476458E0;1.771000773E-2;8.012114167E-1;1.321859002E0
5.495142448E0;-5.109270811E-1;1.145824194E0;1.536642760E-1
5.511808437E0;-1.544099689E0;9.038761854E-1;-5.611276031E-1
5.528474427E0;-1.771267176E0;-5.942839384E-1;-3.561975360E-1
5.545140416E0;-8.096003532E-1;-1.813744545E0;-4.536691606E-1
5.561806406E0;-1.922800839E-1;-1.604553342E0;-1.057806849E0
5.578472396E0;9.334372729E-2;-8.266445994E-1;-1.627456546E0
5.595138385E0;3.055975139E-1;3.051980436E-1;-1.787112951E0
5.611804375E0;5.717802644E-1;1.064731002E0;-1.508147001E0
5.628470364E0;7.664572001E-1;9.781783223E-1;-1.189499974E0
5.645136354E0;9.323719740E-1;3.336938322E-1;-1.147821546E0
5.661802343E0;1.061135769E0;-5.757750273E-1;-1.467267513E0
5.678468333E0;9.540767670E-1;-1.396028042E0;-1.866075635E0
5.695134323E0;4.190480709E-1;-1.419463754E0;-2.056092024E0
5.711800312E0;-5.459476113E-1;5.130575895E-1;-1.938779831E0
5.728466302E0;-1.125051618E0;1.758217692E0;-1.498825908E0
