"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6.028454114E0;-4.934519768E0;-2.809118271E0;2.410078049E0
6.045120104E0;-3.853283167E0;-3.698193550E0;1.430084944E0
6.061786093E0;-2.628082991E0;-3.590516090E0;1.866393089E0
6.078452083E0;-1.284453630E0;-5.277234077E0;1.801192284E0
6.095118073E0;1.635832787E0;-8.387337685E0;-6.779407859E-1
6.111784062E0;4.794929504E0;-1.016508770E1;-4.006783485E0
6.128450052E0;6.332686424E0;-9.443909645E0;-4.883890152E0
6.145116041E0;7.132111549E0;-7.862199783E0;-3.621604919E0
6.161782031E0;6.540506363E0;-5.652285576E0;-2.270903111E0
6.178448021E0;2.865674973E0;-2.370400429E0;-2.341736317E0
6.195114010E0;-2.390804768E0;7.586832047E-1;-1.045894146E0
6.211780000E0;-4.639662266E0;2.385603428E0;1.805784583E0
6.228445989E0;-2.171710491E0;2.257571220E0;1.850433588E0
6.245111979E0;3.404808044E-2;1.693095684E0;1.024913192E0
6.261777968E0;1.121753216E0;1.902345181E0;7.781434059E-1
6.278443958E0;3.048876762E0;1.757576466E0;-1.543581486E-2
6.295109948E0;4.547957897E0;1.777892590E0;-1.360316634E0
6.311775937E0;5.872863293E0;2.095978260E0;-2.437068939E0
6.328441927E0;7.144070148E0;2.528457165E0;-3.179621220E0
6.345107916E0;8.251533508E0;2.891962528E0;-3.628669500E0
6.361773906E0;9.519550323E0;2.794260025E0;-3.658432007E0
6.378439896E0;1.008678055E1;2.954305410E0;-2.859203577E0
6.395105885E0;9.817848206E0;3.271413088E0;-1.489298224E0
6.411771875E0;8.812641144E0;3.000657797E0;4.716601670E-1
6.428437864E0;5.261894226E0;2.325237751E0;4.571766853E0
6.445103854E0;-7.407083511E-1;-4.147639275E-1;1.033862877E1
6.461769843E0;-1.241655159E1;-4.882513046E0;6.230964661E0
6.478435833E0;-2.188007736E1;-4.416361332E0;-5.332723618E0
6.495101823E0;-2.495718193E1;-1.038507938E0;-4.389328361E-1
