"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
4.895269667E0;1.783777189E-1;1.734342635E-2;-4.014715809E-1
4.915428667E0;1.443514553E-1;8.500448227E-2;-1.388339496E-1
4.935587667E0;1.606465490E-1;1.183131462E-1;4.205960691E-2
4.955746667E0;-1.282197183E-1;1.123834848E-1;-9.567857444E-2
4.975905667E0;-1.879542156E-1;2.646058041E-1;-6.662902236E-2
4.996064667E0;-8.715289548E-2;1.184295058E-2;-1.998028672E-1
5.016223667E0;8.425786592E-2;7.127638936E-2;-3.647083819E-2
5.036382667E0;-1.565386607E-1;-1.302642703E-1;1.193305618E-1
5.056541667E0;-2.465705059E-2;1.523129511E-1;1.585817510E-1
5.076700667E0;-1.073618229E-1;1.724425757E-1;-3.538033247E-2
5.096859667E0;3.386933886E-2;5.602334261E-2;9.163347065E-2
5.117018667E0;2.947858422E-1;1.155041438E-1;1.289492315E-1
5.137177667E0;2.402985632E-1;4.478160274E-1;-5.265651584E-2
5.157336667E0;6.710259566E-1;8.487291992E-2;-3.869734097E-1
5.177495667E0;-2.145936184E-1;-3.060017520E-1;-1.127851886E-1
5.197654667E0;3.652638674E-1;6.235862535E-1;4.102102447E-1
5.217813667E0;-3.423530146E-2;1.788552171E-1;-4.620580906E-1
5.237972667E0;-4.312041608E-1;-1.574573314E-1;-5.441190845E-1
5.258131667E0;-6.657557150E-1;2.412467623E-1;-3.903583628E-1
5.278290667E0;-7.241237180E-1;1.242463160E-1;-6.715649968E-1
5.298449667E0;-4.737053056E-1;2.422021973E-1;-2.963333809E-1
5.318608667E0;1.597742906E-1;5.417386830E-1;2.942886096E-1
5.338767667E0;6.860533740E-1;-1.048651350E-1;5.681961644E-1
5.358926667E0;3.092039797E-1;-3.345016658E-1;1.779483140E-2
5.379085667E0;1.115498912E-1;-5.088475102E-1;-4.091606694E-1
5.399244667E0;-9.426106319E-2;1.489929020E-2;2.731474167E-1
5.419403667E0;-8.305058400E-1;1.240118426E-1;-1.922967964E-1
5.439562667E0;-3.348973031E-1;2.190250039E-2;-9.394662917E-2
5.459721667E0;-1.816540600E-1;-3.534226710E-1;-2.476529717E-2
5.479880667E0;-1.586210735E-1;-9.414309561E-2;2.252546275E-1
5.500038667E0;-2.890044808E-1;-6.020527124E-2;2.964649433E-1
5.520197667E0;-4.010328935E-1;-2.741502142E-1;1.038898194E-1
5.540356667E0;-3.582838999E-1;1.505687267E-1;8.973312557E-2
5.560515667E0;-1.861829478E-1;-1.259519488E-1;2.562513024E-1
5.580674667E0;-3.795383826E-2;-2.941102695E-1;8.549038589E-2
5.600833667E0;-1.221570327E-1;-7.056829154E-2;-2.871158302E-2
5.620992667E0;-2.151147515E-1;-7.974491179E-2;-2.593000406E-1
5.641151667E0;1.258306190E-1;1.856871039E-1;2.664751589E-2
5.661310667E0;4.268234269E-1;-3.283685213E-1;4.961526203E-1
5.681469667E0;3.409525334E-1;-4.312988126E-1;2.287313819E-2
5.701628667E0;1.480388557E-1;2.331822824E-1;-7.366164404E-1
5.721787667E0;8.511835679E-2;1.518960446E-1;-2.162399751E-1
5.741946667E0;-3.332318699E-1;1.388316107E-1;-1.366213632E-1
5.762105667E0;1.071750775E-2;3.332456839E-1;3.043200928E-1
5.782264667E0;3.035435826E-3;1.672110718E-1;5.877825826E-1
5.802423667E0;-3.538468134E-1;3.493945241E-1;4.243084663E-1
5.822582667E0;-7.725654877E-1;6.717825133E-1;-4.387820792E-1
