"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
7.435298042E0;-1.535348780E-2;-5.594349280E-2;5.016312003E-2
7.455457042E0;-5.458157044E-3;-8.551945537E-2;1.688097604E-3
7.475616042E0;-1.431461796E-2;-2.309159003E-2;9.283903055E-3
7.495775042E0;8.784841746E-3;1.981486380E-2;-1.187278144E-2
7.515934042E0;1.059209276E-2;4.205538705E-2;-7.877590135E-3
7.536093292E0;-3.414546326E-2;1.089352667E-1;-1.596448570E-2
7.556252292E0;-7.881300896E-2;1.675070673E-1;-4.978404567E-2
7.576411292E0;-2.395936521E-3;6.126397848E-2;-4.140160605E-2
7.596570292E0;-5.227822810E-3;4.123870283E-2;-3.841081262E-2
7.616728292E0;-7.650531828E-3;7.014447451E-2;-5.224593729E-2
7.636887292E0;5.873473361E-3;8.232179284E-2;-6.382257491E-2
7.657046292E0;4.010849819E-2;9.013755620E-2;-6.659752876E-2
7.677205292E0;2.698695660E-2;1.467693597E-1;-8.335030079E-2
