"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5.567555488E2;5.290863037E0;-2.133849335E1;1.941546631E1
5.567706288E2;5.175613403E0;-2.155301666E1;1.921475220E1
5.567857078E2;5.243881226E0;-2.180935669E1;1.968487549E1
5.568007868E2;5.000671387E0;-2.167516327E1;1.957751465E1
5.568158657E2;5.150260925E0;-2.182661438E1;1.959390259E1
5.568309448E2;5.154205322E0;-2.188240814E1;2.005453491E1
5.568460247E2;5.289283752E0;-2.180403137E1;2.002786255E1
5.568611038E2;5.340385437E0;-2.118707275E1;1.957278442E1
5.568761828E2;5.045074463E0;-2.161494446E1;2.004351807E1
5.568912618E2;5.016059875E0;-2.190195465E1;1.954391479E1
5.569063407E2;5.115180969E0;-2.172976685E1;1.958895874E1
5.569214207E2;5.078887939E0;-2.175433350E1;1.963717651E1
5.569364998E2;5.017021179E0;-2.182868958E1;1.978717041E1
5.569515788E2;5.077117920E0;-2.190542603E1;1.945568848E1
5.569666578E2;5.193206787E0;-2.170972443E1;1.966290283E1
5.569817378E2;4.846191406E0;-2.172351074E1;1.902185059E1
5.569968168E2;5.033782959E0;-2.147352600E1;1.972241211E1
5.570118957E2;5.172409058E0;-2.158106995E1;1.941760254E1
5.570269748E2;5.142028809E0;-2.156739807E1;1.961264038E1
5.570420538E2;5.156974792E0;-2.183211517E1;1.999377441E1
5.570571338E2;5.220695496E0;-2.180115509E1;1.939428711E1
5.570722128E2;5.052093506E0;-2.199481964E1;1.978216553E1
5.570872918E2;5.217079163E0;-2.162741852E1;1.945996094E1
5.571023707E2;5.373497009E0;-2.178193665E1;1.923117065E1
5.571174498E2;5.277694702E0;-2.167630005E1;1.940725708E1
5.571325297E2;5.059371948E0;-2.196812439E1;1.973840332E1
5.571476088E2;5.173675537E0;-2.194576263E1;1.995352173E1
5.571626878E2;5.235733032E0;-2.149181366E1;1.961581421E1
5.571777668E2;5.282646179E0;-2.177597809E1;1.982244873E1
5.571928468E2;5.360763550E0;-2.188848877E1;2.043923950E1
5.572079258E2;5.264671326E0;-2.168907928E1;1.994302368E1
5.572230047E2;5.237091064E0;-2.148400116E1;2.007534790E1
5.572380838E2;5.435714722E0;-2.156311035E1;1.987622070E1
5.572531628E2;5.117752075E0;-2.164299011E1;1.962545776E1
5.572682428E2;4.997688293E0;-2.127696991E1;1.992028809E1
5.572833218E2;5.507431030E0;-2.132086182E1;1.960980225E1
5.572984007E2;5.361480713E0;-2.148893738E1;2.023031616E1
5.573134798E2;5.278236389E0;-2.156908417E1;2.004244995E1
5.573285588E2;5.353530884E0;-2.111503601E1;1.968084717E1
5.573436388E2;4.936019897E0;-2.143518066E1;2.058642578E1
5.573587178E2;5.059471130E0;-2.154399872E1;2.038003540E1
5.573737968E2;5.206108093E0;-2.174315643E1;1.969540405E1
5.573888757E2;5.056312561E0;-2.156813812E1;1.986581421E1
5.574039558E2;4.794616699E0;-2.136717987E1;1.971896362E1
5.574190347E2;4.925354004E0;-2.158506012E1;2.026684570E1
5.574341138E2;5.045982361E0;-2.157084656E1;1.978826904E1
5.574491928E2;4.918273926E0;-2.157921600E1;1.971466064E1
5.574642718E2;5.155860901E0;-2.135966492E1;2.002789307E1
5.574793518E2;5.007728577E0;-2.134537506E1;1.960177612E1
5.574944308E2;4.978347778E0;-2.146996307E1;1.983331299E1
5.575095097E2;4.961204529E0;-2.154473114E1;2.014135742E1
5.575245888E2;5.143974304E0;-2.101003265E1;1.973245239E1
5.575396688E2;5.127807617E0;-2.127826691E1;1.988873291E1
5.575547478E2;5.158294678E0;-2.142646027E1;1.952694702E1
5.575698268E2;5.310722351E0;-2.128720856E1;2.006469727E1
5.575849056E2;5.030975342E0;-2.091036987E1;1.990109253E1
5.575999846E2;5.148086548E0;-2.100094604E1;1.980828857E1
5.576150646E2;5.015869141E0;-2.158251190E1;2.043334961E1
5.576301436E2;5.169197083E0;-2.142561340E1;1.968222046E1
5.576452226E2;4.928459167E0;-2.122965240E1;2.001403809E1
5.576603016E2;4.887954712E0;-2.090505219E1;1.997204590E1
5.576753816E2;4.855293274E0;-2.128482056E1;1.967657471E1
5.576904606E2;4.898231506E0;-2.141503143E1;2.018814087E1
5.577055396E2;5.009490967E0;-2.099078369E1;1.945123291E1
5.577206186E2;4.875297546E0;-2.076579285E1;1.990200806E1
5.577356976E2;5.049720764E0;-2.106018829E1;1.986453247E1
5.577507776E2;5.030326843E0;-2.138143921E1;1.997378540E1
5.577658566E2;5.036972046E0;-2.119092560E1;1.984246826E1
5.577809356E2;5.220916748E0;-2.114937592E1;1.955236816E1
5.577960146E2;5.075180054E0;-2.138841248E1;1.977435303E1
5.578110936E2;4.927474976E0;-2.150837708E1;1.996380615E1
5.578261736E2;5.072647095E0;-2.120957947E1;1.967602539E1
5.578412526E2;4.929450989E0;-2.094461823E1;1.992828369E1
5.578563316E2;5.118827820E0;-2.151648712E1;1.945297241E1
5.578714106E2;4.943336487E0;-2.145939636E1;1.972827148E1
5.578864906E2;5.087425232E0;-2.122901917E1;1.997033691E1
5.579015696E2;4.947944641E0;-2.116968536E1;1.975134277E1
5.579166486E2;5.000595093E0;-2.122515106E1;1.964105225E1
5.579317276E2;5.017189026E0;-2.144535828E1;2.009243774E1
5.579468066E2;5.173950195E0;-2.115904236E1;1.977279663E1
5.579618866E2;5.016036987E0;-2.085344696E1;2.048559570E1
5.579769656E2;4.694557190E0;-2.101424408E1;2.011550903E1
5.579920446E2;4.836036682E0;-2.110432434E1;2.008657837E1
5.580071236E2;5.034965515E0;-2.122714996E1;2.025149536E1
5.580222036E2;4.814804077E0;-2.128226471E1;1.985845947E1
5.580372826E2;5.198318481E0;-2.123993683E1;1.974673462E1
5.580523616E2;5.210678101E0;-2.148213959E1;1.962503052E1
5.580674406E2;4.868728638E0;-2.118578339E1;1.988662720E1
5.580825206E2;5.101173401E0;-2.076050568E1;2.018072510E1
5.580975996E2;5.150093079E0;-2.077227020E1;1.966152954E1
5.581126786E2;4.731872559E0;-2.111869049E1;2.008190918E1
5.581277576E2;4.976097107E0;-2.114339447E1;1.972204590E1
5.581428366E2;5.087501526E0;-2.078463745E1;1.918664551E1
5.581579166E2;4.796188354E0;-2.097876740E1;1.968893433E1
5.581729956E2;4.956283569E0;-2.107961273E1;1.994433594E1
5.581880746E2;5.051345825E0;-2.116778564E1;1.978338623E1
5.582031536E2;5.215980530E0;-2.115935516E1;1.966647339E1
5.582182336E2;4.930213928E0;-2.085791016E1;1.956362915E1
5.582333126E2;4.949790955E0;-2.134381866E1;1.994259644E1
5.582483916E2;5.231651306E0;-2.103681946E1;1.996047974E1
5.582634706E2;5.007530212E0;-2.090762329E1;1.975091553E1
5.582785496E2;4.962043762E0;-2.068852997E1;2.030407715E1
5.582936296E2;4.966796875E0;-2.085830688E1;2.000439453E1
5.583087086E2;4.992736816E0;-2.112071991E1;1.989559937E1
5.583237876E2;4.904907227E0;-2.082464600E1;1.962707520E1
5.583388666E2;5.044380188E0;-2.093709564E1;1.989611816E1
5.583539456E2;5.098541260E0;-2.102999115E1;2.031262207E1
5.583690256E2;5.187530518E0;-2.122355652E1;1.991912842E1
5.583841046E2;5.306816101E0;-2.100907898E1;1.977136230E1
5.583991836E2;5.457901001E0;-2.104261780E1;2.028396606E1
5.584142626E2;5.241561890E0;-2.084593201E1;1.974075317E1
5.584293426E2;5.011428833E0;-2.102083588E1;2.032638550E1
5.584444216E2;5.171295166E0;-2.121255493E1;2.014205933E1
5.584595006E2;5.029624939E0;-2.107820892E1;2.010757446E1
5.584745796E2;5.230339050E0;-2.125283813E1;2.053509521E1
5.584896586E2;5.228096008E0;-2.124045563E1;2.038333130E1
