"Time (s)";"X (hPa)"
6.654040819E2;1.008579559E3
6.664046609E2;1.008587494E3
6.674057049E2;1.008594742E3
6.684058139E2;1.008599319E3
6.694063869E2;1.008599319E3
6.704069669E2;1.008594437E3
6.714075459E2;1.008587952E3
6.724081209E2;1.008581772E3
6.734086999E2;1.008579025E3
6.744092739E2;1.008578644E3
6.754098459E2;1.008578644E3
6.764104249E2;1.008581772E3
6.774110009E2;1.008588791E3
6.784115739E2;1.008600388E3
6.794121559E2;1.008612061E3
6.804127329E2;1.008622742E3
6.814133149E2;1.008632660E3
6.824138869E2;1.008637543E3
6.834144569E2;1.008637543E3
6.844150369E2;1.008637543E3
6.854156139E2;1.008640671E3
6.864161889E2;1.008647003E3
6.874167649E2;1.008654404E3
6.884173469E2;1.008669128E3
6.894179289E2;1.008669128E3
6.904184949E2;1.008656082E3
6.914190719E2;1.008642120E3
6.924196519E2;1.008629990E3
6.934202239E2;1.008600693E3
6.944207979E2;1.008579025E3
6.954213789E2;1.008565826E3
6.964219529E2;1.008549118E3
6.974225319E2;1.008532028E3
6.984231079E2;1.008522568E3
6.994236829E2;1.008513641E3
7.004243939E2;1.008507767E3
7.014248359E2;1.008500824E3
7.024254169E2;1.008492050E3
7.034259909E2;1.008483429E3
7.044265709E2;1.008477325E3
7.054271419E2;1.008475037E3
7.064277209E2;1.008470917E3
7.074282939E2;1.008466034E3
7.084288689E2;1.008462448E3
7.094294499E2;1.008460922E3
7.104300289E2;1.008459549E3
7.114306029E2;1.008459549E3
7.124311819E2;1.008465042E3
7.134317539E2;1.008467484E3
7.144323279E2;1.008471451E3
7.154329109E2;1.008475571E3
7.164334859E2;1.008475571E3
7.174340669E2;1.008472290E3
7.184346419E2;1.008472290E3
7.194352119E2;1.008474274E3
7.204357949E2;1.008477249E3
7.214363719E2;1.008483734E3
7.224370729E2;1.008493118E3
7.234375229E2;1.008498611E3
7.244380979E2;1.008501358E3
7.254386719E2;1.008507309E3
7.264392509E2;1.008510971E3
7.274398249E2;1.008511200E3
7.284404039E2;1.008512192E3
7.294409769E2;1.008511810E3
7.304415559E2;1.008511810E3
7.314421349E2;1.008510284E3
7.324427099E2;1.008508911E3
7.334432829E2;1.008508911E3
7.344438669E2;1.008509598E3
7.354444369E2;1.008511353E3
7.364452999E2;1.008516693E3
7.374455909E2;1.008523331E3
7.384461659E2;1.008529053E3
7.394467459E2;1.008538055E3
7.404473199E2;1.008538589E3
7.414478969E2;1.008538589E3
7.424484729E2;1.008529129E3
7.434490459E2;1.008517075E3
7.444496239E2;1.008503494E3
7.454502009E2;1.008484573E3
7.464507799E2;1.008472214E3
7.474513599E2;1.008464050E3
7.484519299E2;1.008458786E3
7.494525109E2;1.008458328E3
7.504530799E2;1.008458328E3
7.514536639E2;1.008462830E3
7.524542439E2;1.008466492E3
7.534548199E2;1.008467484E3
7.544553909E2;1.008470383E3
7.554559659E2;1.008470383E3
7.564565449E2;1.008470764E3
7.574571219E2;1.008470764E3
7.584576969E2;1.008471222E3
7.594582749E2;1.008471527E3
7.604588479E2;1.008474274E3
7.614594299E2;1.008479996E3
7.624600019E2;1.008491135E3
7.634605779E2;1.008504181E3
7.644611689E2;1.008512726E3
7.654617299E2;1.008513947E3
7.664623109E2;1.008513947E3
7.674628879E2;1.008502655E3
7.684634669E2;1.008491364E3
7.694640409E2;1.008484344E3
7.704646109E2;1.008483505E3
7.714651889E2;1.008483505E3
7.724657629E2;1.008489304E3
7.734663429E2;1.008490601E3
7.744669169E2;1.008490601E3
7.754674959E2;1.008488007E3
7.764680799E2;1.008483353E3
7.774686479E2;1.008483353E3
7.784692289E2;1.008487091E3
7.794698019E2;1.008493195E3
7.804703789E2;1.008497086E3
7.814712859E2;1.008497086E3
7.824715319E2;1.008494415E3
7.834721119E2;1.008486176E3
7.844726859E2;1.008478394E3
7.854732669E2;1.008473358E3
7.864738359E2;1.008473358E3
7.874744129E2;1.008477631E3
7.884749889E2;1.008484497E3
7.894755659E2;1.008492737E3
7.904761429E2;1.008503265E3
7.914767189E2;1.008513794E3
7.924772959E2;1.008522568E3
7.934778709E2;1.008532562E3
7.944784459E2;1.008545151E3
7.954793259E2;1.008565598E3
7.964796029E2;1.008581238E3
7.974801849E2;1.008596420E3
7.984807549E2;1.008617630E3
7.994813339E2;1.008640137E3
8.004819059E2;1.008651505E3
8.014824839E2;1.008651505E3
8.024830649E2;1.008639374E3
8.034836349E2;1.008601685E3
8.044842129E2;1.008548431E3
8.054847879E2;1.008493729E3
8.064853659E2;1.008453217E3
8.074859409E2;1.008435745E3
8.084865199E2;1.008424454E3
8.094870949E2;1.008422623E3
8.104876709E2;1.008420181E3
8.114882469E2;1.008418961E3
8.124892629E2;1.008418961E3
8.134894009E2;1.008443832E3
8.144899749E2;1.008468781E3
8.154905529E2;1.008488541E3
8.164911309E2;1.008516693E3
8.174917049E2;1.008544464E3
8.184922849E2;1.008565826E3
8.194928599E2;1.008588562E3
8.204934399E2;1.008609238E3
8.214940119E2;1.008609238E3
8.224945869E2;1.008591232E3
8.234951639E2;1.008550339E3
8.244957429E2;1.008527298E3
8.254963209E2;1.008526077E3
8.264968929E2;1.008527298E3
8.274974679E2;1.008541870E3
8.284980459E2;1.008541870E3
8.294988779E2;1.008533478E3
8.304992019E2;1.008432236E3
8.314997799E2;1.008347778E3
8.325003609E2;1.008233643E3
8.335009299E2;1.008129959E3
8.345015089E2;1.008052139E3
8.355020859E2;1.008052139E3
8.365026669E2;1.008063278E3
8.375032349E2;1.008091583E3
8.385038159E2;1.008099670E3
8.395043899E2;1.008139725E3
8.405049659E2;1.008164444E3
8.415055479E2;1.008164444E3
8.425061209E2;1.008164444E3
8.435066969E2;1.008162537E3
8.445072759E2;1.008137283E3
8.455078489E2;1.008067093E3
8.465084229E2;1.008017883E3
8.475090019E2;1.007991180E3
8.485095789E2;1.007991028E3
8.495101569E2;1.007991028E3
8.505107329E2;1.008047104E3
8.515113079E2;1.008090973E3
8.525118829E2;1.008132629E3
8.535124599E2;1.008158722E3
8.545130449E2;1.008169861E3
8.555136109E2;1.008180923E3
8.565141879E2;1.008201141E3
8.575147679E2;1.008214645E3
8.585153419E2;1.008214645E3
8.595159219E2;1.008200760E3
8.605164959E2;1.008168640E3
8.615170739E2;1.008153152E3
8.625176529E2;1.008125076E3
8.635182259E2;1.008106003E3
8.645188049E2;1.008106003E3
8.655193809E2;1.008112106E3
8.665202029E2;1.008112106E3
8.675205289E2;1.008110504E3
