"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
3.633795801E0;2.711096108E-1;-2.946785688E-1;-7.882951200E-2
3.650461791E0;4.745749533E-1;-5.352949500E-1;-3.768370301E-2
3.667127780E0;6.032055616E-1;-7.274419069E-1;2.889527567E-2
3.683793770E0;5.569997430E-1;-7.704519033E-1;-5.579318479E-2
3.700459760E0;3.745733202E-1;-6.014744639E-1;-9.813741595E-2
3.717125749E0;1.087900475E-1;-3.852259517E-1;-6.098634377E-2
3.733791739E0;-1.070589945E-1;-2.703106403E-1;-9.986846894E-2
3.750457728E0;-1.958753467E-1;-3.126548827E-1;-1.350221634E-1
3.767123718E0;-1.569932252E-1;-4.565986395E-1;-1.776327193E-1
3.783789708E0;-6.005423889E-2;-5.676523447E-1;-1.885516644E-1
3.800455697E0;8.042740822E-2;-6.090644598E-1;-1.338237375E-1
3.817121687E0;2.271674722E-1;-6.665887237E-1;-4.274370521E-2
3.833787676E0;2.760364413E-1;-6.455497742E-1;-6.045371294E-2
3.850453666E0;2.271674722E-1;-5.371592045E-1;-1.918806136E-1
3.867119655E0;2.569948509E-2;-3.098585606E-1;-2.673811615E-1
3.883785645E0;-1.356879622E-1;-7.496792823E-2;-2.580601275E-1
3.900451635E0;-9.813741595E-2;4.061317816E-2;-2.691122293E-1
3.917117624E0;9.374319762E-2;9.054740891E-3;-2.266348451E-1
3.933783614E0;2.918822467E-1;-1.689774394E-1;-2.001364082E-1
3.950449603E0;3.874896467E-1;-3.681817353E-1;-2.282327414E-1
3.967115593E0;3.012032807E-1;-5.888244510E-1;-2.354232669E-1
3.983781583E0;9.361004084E-2;-7.360971570E-1;-2.374206334E-1
4.000447572E0;-1.651158631E-1;-6.707166433E-1;-2.197106332E-1
4.017113562E0;-3.861580789E-1;-4.908202291E-1;-1.743037701E-1
4.033779551E0;-5.021386743E-1;-2.563290596E-1;-1.759016514E-1
4.050445541E0;-4.715123177E-1;-3.861580789E-2;-1.596563905E-1
4.067111530E0;-2.850911915E-1;1.149153188E-1;-1.002679393E-1
4.083777520E0;-1.249021590E-1;1.878858805E-1;-8.934898674E-2
4.100443510E0;-5.273054913E-2;1.866874546E-1;-1.667137593E-1
4.117109499E0;-5.912213027E-2;1.185105816E-1;-2.603237927E-1
4.133775489E0;-1.563274413E-1;1.837579720E-2;-2.838927507E-1
4.150441478E0;-3.025348783E-1;-5.166528746E-2;-2.954775095E-1
4.167107468E0;-4.006722867E-1;9.853689000E-3;-2.957438231E-1
4.183773458E0;-4.430165291E-1;1.050616279E-1;-2.633864284E-1
4.200439447E0;-4.781702161E-1;1.729721874E-1;-2.304964215E-1
4.217105437E0;-5.548691750E-1;2.346243113E-1;-3.251717389E-1
4.233771426E0;-5.998765826E-1;4.285022914E-1;-3.874896467E-1
4.250437416E0;-5.411539078E-1;5.833650231E-1;-3.254380524E-1
4.267103405E0;-3.633880615E-1;5.376918316E-1;-3.045322299E-1
4.283769395E0;-1.322258562E-1;3.601922691E-1;-4.187817574E-1
4.300435385E0;9.827057272E-2;2.697780132E-1;-4.599275887E-1
4.317101374E0;2.744385600E-1;2.214416862E-1;-3.733749092E-1
4.333767364E0;3.748396337E-1;3.219759464E-1;-2.693785429E-1
4.350433353E0;3.671164811E-1;4.022701681E-1;-1.798963994E-1
4.367099343E0;2.918822467E-1;4.472775757E-1;-1.245026886E-1
4.383765333E0;1.966743022E-1;4.486091435E-1;-1.276984811E-1
4.400431322E0;9.946899116E-2;4.628570378E-1;-1.166463718E-1
4.417097312E0;4.540686309E-2;3.728422821E-1;-6.631266326E-2
4.433763301E0;8.175898343E-2;1.669800729E-1;3.182475269E-2
4.450429291E0;2.813627720E-1;1.752358675E-1;7.017423958E-2
4.467095280E0;6.163882017E-1;3.560643792E-1;1.021321490E-1
4.483761270E0;8.486156464E-1;5.569997430E-1;1.440769136E-1
4.500427260E0;8.367645741E-1;8.362319469E-1;2.304964215E-1
4.517093249E0;5.856286883E-1;9.362335801E-1;3.552654386E-1
4.533759239E0;3.069290817E-1;8.570045829E-1;4.628570378E-1
4.550425228E0;8.841688186E-2;5.607281327E-1;4.257059693E-1
4.567091218E0;-5.992107838E-2;2.097237855E-1;2.781669796E-1
4.583757208E0;-1.692437679E-1;8.362319320E-2;1.715074480E-1
4.600423197E0;-2.520680130E-1;2.327601016E-1;1.532648057E-1
4.617089187E0;-3.258375227E-1;3.826959729E-1;2.243711501E-1
4.633755176E0;-3.609912097E-1;3.492733240E-1;3.518033028E-1
4.650421166E0;-4.246407151E-1;2.543316968E-2;4.430165291E-1
4.667087155E0;-4.968123436E-1;-4.209122956E-1;5.087965727E-1
4.683753145E0;-3.932154477E-1;-6.464818716E-1;5.223786831E-1
4.700419135E0;-1.002679393E-1;-5.458144546E-1;5.498092175E-1
4.717085124E0;2.134522051E-1;-2.902843356E-1;6.516750455E-1
4.733751114E0;3.685812056E-1;2.223737910E-2;6.934866309E-1
4.750417103E0;3.760380745E-1;3.171822429E-1;6.910898089E-1
4.767083093E0;2.356895804E-1;4.318312407E-1;6.571345329E-1
4.783749083E0;9.054740891E-3;4.830970466E-1;6.234455705E-1
4.800415072E0;-1.881521940E-1;3.787012100E-1;6.185187101E-1
4.817081062E0;-2.723080218E-1;1.845569313E-1;6.060018539E-1
4.833747051E0;-2.167811543E-1;-1.315600574E-1;5.732449889E-1
4.850413041E0;-1.218395308E-1;-3.804322779E-1;5.095955133E-1
4.867079030E0;-1.038632020E-1;-4.519380927E-1;4.965460002E-1
4.883745020E0;-2.231727391E-1;-4.379565120E-1;3.988080621E-1
4.900411010E0;-3.555317521E-1;-2.842922211E-1;2.103895694E-1
4.917076999E0;-4.384891391E-1;-1.556616426E-1;5.326318368E-2
4.933742989E0;-4.546012580E-1;-1.366200596E-1;9.653951973E-2
4.950408978E0;-3.371559381E-1;-1.902827173E-1;2.346243113E-1
4.967074968E0;-1.384842694E-1;-2.528669536E-1;2.472743243E-1
4.983740958E0;-1.677790284E-2;-4.709796906E-1;8.841688186E-2
5.000406947E0;5.739107728E-2;-5.508744717E-1;-5.432844535E-2
5.017072937E0;4.673844203E-2;-5.287702680E-1;-1.197090000E-1
5.033738926E0;-1.957421936E-2;-4.676507413E-1;-1.205079481E-1
5.050404916E0;-4.886896908E-2;-2.868222296E-1;-5.739107728E-2
5.067070905E0;-8.135951310E-2;-1.747032404E-1;1.358211134E-2
5.083736895E0;-1.074584723E-1;-6.777740270E-2;-2.796316985E-3
5.224496355E0;1.645832360E-1;1.546895981E0;9.876325727E-1
5.241162345E0;2.961432934E-1;1.017326832E0;1.061668396E0
5.257828334E0;3.398191035E-1;2.471411675E-1;1.258342624E0
5.274494324E0;2.928143442E-1;-2.400837988E-1;1.434777021E0
5.291160313E0;1.846900880E-1;-2.785664499E-1;1.345028520E0
5.307826303E0;4.673844203E-2;-2.143843099E-2;1.077514172E0
5.324492293E0;-1.731053367E-2;2.932138145E-1;8.396940827E-1
