sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid,activity
Accelerometer,Acceleration x (m/s^2),345.2690563,350.2521872,20700,21000,0.4700316724074333,3.781148824669306,-8.463502884,12.47199535,20.935498234,0.2932897061,14.297086434298075,3.4000000000000004,9.725734951570502,walking
Accelerometer,Acceleration x (m/s^2),350.2688532,355.2519841,21000,21300,0.3314472862977733,3.85811106381506,-11.28147888,14.49509525,25.77657413,0.033219547940000003,14.885020980732175,3.4000000000000004,10.323129878445506,walking
Accelerometer,Acceleration x (m/s^2),355.2686501,360.251781,21300,21600,0.4467959442774,3.7555771594371516,-11.08635139,12.75091934,23.83727073,0.24540566655,14.104359800486025,3.4000000000000004,9.513824563077513,walking
Accelerometer,Acceleration x (m/s^2),360.268447,365.2515778,21600,21900,0.3680067623656966,3.99578065494574,-11.21863079,14.81113052,26.02976131,0.12719196825,15.966263042438607,3.4000000000000004,10.222129577599276,walking
Accelerometer,Acceleration x (m/s^2),365.2682438,370.2513747,21900,22200,-2.540896441241453,4.552970152865818,-20.17653656,11.583148,31.759684559999997,-2.2870612145,20.72953721288699,0.2,9.7704468647478,walking
Accelerometer,Acceleration x (m/s^2),370.2680407,375.2511716,22200,22500,-2.7093364941682334,5.0426797410948785,-15.50903988,18.66639328,34.17543316,-2.7596167325,25.428618971248714,7.0,9.658125541441468,walking
Accelerometer,Acceleration x (m/s^2),375.2678376,380.2509685,22500,22800,-0.07509612817363329,3.769156171695765,-9.039907455,12.46361542,21.503522875,-0.211886853,14.206538246632276,3.6,10.260721617092898,walking
Accelerometer,Acceleration x (m/s^2),380.2676345,385.2507653,22800,23100,0.24955562096276665,3.4507369352309536,-7.28555584,11.69806957,18.98362541,0.066139822825,11.907585396167114,3.4000000000000004,9.895363272393078,walking
Accelerometer,Acceleration x (m/s^2),385.2674313,390.2505622,23100,23400,0.29269115366276666,4.242134327825289,-14.63575459,17.86074448,32.49649907,0.14694412795,17.995703655313715,4.4,9.886383256002748,walking
Accelerometer,Acceleration x (m/s^2),390.2672282,395.2503591,23400,23700,0.3239494513133667,3.2667440807267996,-8.61912632,10.40699577,19.02612209,0.10714052619,10.671616888963584,3.4000000000000004,9.819158472044297,walking
Accelerometer,Acceleration x (m/s^2),395.2670251,400.250156,23700,24000,0.28506961509036666,3.5925136794620327,-12.07575512,14.86679554,26.942550660000002,0.01346738404,12.906154537121832,3.4000000000000004,10.291103121074954,walking
Accelerometer,Acceleration x (m/s^2),400.266822,405.2499529,24000,24300,0.2526920344012267,3.546261400767279,-7.21552515,12.32116032,19.536685470000002,-0.08230068162000001,12.575969922571902,3.4000000000000004,9.382348389026939,walking
Accelerometer,Acceleration x (m/s^2),405.2666189,410.2497497,24300,24600,0.37003584761182995,3.42628231927006,-7.683591843,10.18194103,17.865532873,0.19303251059999998,11.739410531342623,3.4000000000000004,9.597433142046473,walking
Accelerometer,Acceleration x (m/s^2),410.2664157,415.2495466,24600,24900,0.3368801421691333,3.5262698029436734,-7.490260124,11.54962921,19.039889334,0.22266075759999998,12.434578723152413,3.4000000000000004,9.905171719143825,walking
Accelerometer,Acceleration x (m/s^2),415.2662126,420.2493435,24900,25200,0.26825434059252334,3.9185419451551233,-9.782109261,14.51245403,24.294563291000003,0.049380411390000004,15.354970975940098,3.4000000000000004,9.282295320014912,walking
Accelerometer,Acceleration x (m/s^2),420.2660095,425.2491404,25200,25500,0.3775077483787934,3.38229735301034,-7.445967197,10.93910789,18.385075087,0.016160862289500002,11.439935384180753,3.4000000000000004,10.391465824769556,walking
Accelerometer,Acceleration x (m/s^2),425.2658064,430.2489372,25500,25800,0.2497331988242333,3.469449982809918,-8.50121212,11.67113495,20.17234707,-0.30915129185,12.03708318321974,4.2,9.878185565646312,walking
Accelerometer,Acceleration x (m/s^2),430.2656032,435.2487341,25800,26100,0.30001342777263335,3.4093058772180798,-8.601169586,14.91827106,23.519440646,-0.02274491638,11.623366564433741,3.4000000000000004,9.080411642639561,walking
Accelerometer,Acceleration x (m/s^2),435.2654001,440.248531,26100,26400,0.20920135093529998,3.318526401753583,-7.582436562,9.466673851,17.049110413,-0.09546879308,11.012617479135585,3.4000000000000004,9.315159354326598,walking
Accelerometer,Acceleration x (m/s^2),440.265197,445.2483279,26400,26700,0.4199270218842333,3.480528060945066,-7.824849606,12.1032877,19.928137306,0.21278467774999998,12.114075583026022,3.4000000000000004,9.515179128562535,walking
Accelerometer,Acceleration x (m/s^2),445.2649939,450.2481247,26700,27000,0.4175707254897333,3.4079517773061943,-9.187150002,11.83573627,21.022886272,-0.006284778940000001,11.614135316444447,3.4000000000000004,10.112011321677608,walking
Accelerometer,Acceleration x (m/s^2),450.2647907,455.2479216,27000,27300,0.2844072274349733,3.27811048721783,-7.131728172,9.305065155,16.436793327,0.14065934715,10.746008366407517,3.4000000000000004,10.134730695481208,walking
Accelerometer,Acceleration x (m/s^2),455.2645876,460.2477185,27300,27600,0.47894409152883327,4.124720960417996,-16.68878365,18.5496769,35.23846055,0.3079541922,17.01332300131155,3.4000000000000004,11.117107720144494,walking
Accelerometer,Acceleration x (m/s^2),460.2643845,465.2475154,27600,27900,0.35671809251056996,3.2537137162149867,-7.722497463,12.65515137,20.377648833000002,0.25079263,10.586652947085538,3.4000000000000004,10.128854401267077,walking
Accelerometer,Acceleration x (m/s^2),465.2641814,470.2473123,27900,28200,0.42059339476793334,3.3184875540857792,-6.50444746,11.77827549,18.28272295,0.22296003995000002,11.012359646622219,3.4000000000000004,9.263541021275657,walking
Accelerometer,Acceleration x (m/s^2),470.2639783,475.2471091,28200,28500,0.26790319250541633,3.6439300647983037,-7.702147007,12.68448067,20.386627677,0.035015200265,13.27822631714097,2.6,9.44770127280717,walking
Accelerometer,Acceleration x (m/s^2),475.2637751,480.246906,28500,28800,0.5562009775371667,3.4485426355583075,-6.312312603,12.3977747,18.710087302999998,0.19333179295,11.892446309263438,2.6,8.435567019029142,walking
Accelerometer,Acceleration x (m/s^2),480.263572,485.2467029,28800,29100,-0.7621103080025998,3.2790077031579252,-9.724648476,13.05258942,22.777237896000003,-0.2663549483,10.751891517369012,0.2,7.47291579230883,walking
Accelerometer,Acceleration x (m/s^2),485.2633689,490.2694682,29100,29400,-4.1552906868689,4.4412672236888255,-15.39651299,14.36999893,29.76651192,-3.9453451635,19.724854552212648,0.2,8.606435745804918,walking
Accelerometer,Acceleration x (m/s^2),490.2861342,495.2692651,29400,29700,-5.06590934514,0.6176148930663807,-7.521384716,-2.804208755,4.717175961000001,-5.0341084005,0.38144815613739697,1.4000000000000001,6.046035896425262,walking
Accelerometer,Acceleration x (m/s^2),495.2859311,500.2690621,29700,30000,-4.723971453831467,2.674690451275374,-17.578228,3.848080635,21.426308634999998,-4.6483426095,7.153969010143665,3.2,7.490073701180744,walking
Accelerometer,Acceleration x (m/s^2),500.2857281,505.268859,30000,30300,-4.043453518265538,5.456793479966514,-23.37578773,8.895656586,32.271444316,-3.7391445635,29.776595083005056,3.6,8.693460041277593,walking
Accelerometer,Acceleration x (m/s^2),505.285525,510.2686559,30300,30600,-3.7696386538928666,4.778397637712189,-25.89508629,10.06462574,35.95971203,-3.9318777320000002,22.833083984093424,3.4000000000000004,8.46863716944963,walking
Accelerometer,Acceleration x (m/s^2),510.2853218,515.2684527,30600,30900,-3.4407232116128337,4.950875173028492,-26.38470078,8.689156532,35.073857312,-2.8547862764999996,24.5111649789099,3.6,8.623375935174959,walking
Accelerometer,Acceleration x (m/s^2),515.2851187,520.2682496,30900,31200,-3.6198973074244,5.302727761994566,-24.01144791,11.39161205,35.40305996,-3.148674488,28.118921717827895,3.4000000000000004,8.67182845987987,walking
Accelerometer,Acceleration x (m/s^2),520.2849156,525.2680465,31200,31500,-3.6297953342284335,4.488594553552313,-21.73695755,5.190030575,26.926988125,-3.3324295285,20.14748106617949,3.4000000000000004,8.557093761051068,walking
Accelerometer,Acceleration x (m/s^2),525.2847125,530.2678434,31500,31800,-3.7087401206355337,4.579228511862309,-25.18341064,7.482479095,32.665889735,-3.886088729,20.969333763852692,3.6,8.451600815965495,walking
Accelerometer,Acceleration x (m/s^2),530.2845093,535.2676402,31800,32100,-2.80985906414552,1.4634791402384648,-8.408436775,5.755661011,14.164097786,-2.8290486335000002,2.141771193913116,1.4000000000000001,7.302448515900145,walking
Accelerometer,Acceleration x (m/s^2),535.2843062,540.2674371,32100,32400,-3.142355812164333,0.8095249386723281,-7.685986042,-0.5793967843,7.1065892577,-2.896983981,0.6553306263324365,0.2,9.533982426659549,walking
Accelerometer,Acceleration x (m/s^2),540.2841031,545.2975841,32400,32700,-5.000551600377066,4.656480432423042,-18.54488754,5.702988625,24.247876165,-4.249109268,21.682810017538685,0.2,6.15587352956898,walking
Accelerometer,Acceleration x (m/s^2),545.3142501,550.2973809,32700,33000,-3.448292882959467,4.8642110968072325,-18.52573395,8.697536469,27.223270419,-3.75470686,23.660549594302616,7.0,8.91736316512784,walking
Accelerometer,Acceleration x (m/s^2),550.3140469,555.2971778,33000,33300,-0.047520904727936644,3.1810482371212054,-8.075043678,9.646238327,17.721282005,-0.075417350965,10.119067886891928,0.8,9.442851082290945,walking
Accelerometer,Acceleration x (m/s^2),555.3138438,560.2969747,33300,33600,0.4905160541892233,3.767863376728316,-9.542090416,13.74032402,23.282414436,0.48841713369999995,14.196794425690507,7.0,9.721817815124568,walking
Accelerometer,Acceleration x (m/s^2),560.3136407,565.2967716,33600,33900,0.17696143090456995,3.315327793102006,-9.14465332,16.80370522,25.94835854,0.1424549967,10.991398375714619,3.6,9.769939000998667,walking
Accelerometer,Acceleration x (m/s^2),565.3134376,570.2965684,33900,34200,1.0092857013202732,2.5047118682665457,-5.552752495,9.943120003,15.495872498,1.0046668651,6.273581543035289,4.6000000000000005,8.179468606586756,walking
Accelerometer,Acceleration x (m/s^2),570.3132344,575.2963653,34200,34500,0.32328506728513334,1.3937016852307562,-4.08809948,5.035604954,9.123704434,1.050456047,1.94240438741505,0.2,10.607008455577734,walking
Accelerometer,Acceleration x (m/s^2),575.3130313,580.2961622,34500,34800,-6.464885285827199,1.9299950951970926,-11.95185471,4.853645325,16.805500034999998,-7.1661450865,3.7248810674848345,0.2,9.53131872547601,walking
Accelerometer,Acceleration x (m/s^2),580.3128282,585.2959591,34800,35100,0.037441335757469975,2.7078694868634807,-8.148066521,11.38502789,19.533094411,0.2867056429,7.33255715788629,3.4000000000000004,9.31522369348112,walking
Accelerometer,Acceleration x (m/s^2),585.3126251,590.2957558,35100,35400,0.3028226228576734,3.652453161885419,-10.79964542,9.819818497,20.619463916999997,0.07960720360000001,13.340414099766793,3.6,9.634801680939013,walking
Accelerometer,Acceleration x (m/s^2),590.3124218,595.2955526,35400,35700,0.20668744792293328,3.9024225396738204,-12.26848793,15.82806778,28.096555709999997,-0.1568202153,15.228901678154271,3.6,10.372022915520471,walking
Accelerometer,Acceleration x (m/s^2),595.3122186,600.2953495,35700,36000,0.4465904366614667,4.132013352188909,-11.1755352,17.36753845,28.543073650000004,0.2169745341,17.073534342667426,3.6,9.831499450735814,walking
