"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
5.241162345E0;0.000000000E0;0.000000000E0;0.000000000E0
5.257828334E0;-5.258555412E-1;-2.169520855E-1;-4.546942711E-1
5.274494324E0;2.780641913E-1;-3.616113663E-1;-8.098139763E-1
5.291160313E0;1.459450126E0;-4.491581917E-1;-9.945111275E-1
5.307826303E0;1.946220040E0;-5.166141987E-1;-1.174955845E0
5.324492293E0;1.403872490E0;-1.189129353E-1;-9.888772964E-1
5.341158282E0;1.097926140E0;1.049969196E-1;-6.936769485E-1
5.357824272E0;7.823114395E-1;2.980871201E-1;-6.490159035E-1
5.374490261E0;7.558631897E-1;3.415255547E-1;-7.392983437E-1
5.391156251E0;9.390184879E-1;4.448838234E-1;-7.087826729E-1
5.407822240E0;1.279463291E0;5.289080143E-1;-5.791254044E-1
5.424488230E0;1.059650421E0;9.544119835E-1;-5.625529289E-1
5.441154220E0;-6.463921070E-1;1.530528784E0;-4.606747627E-1
5.457820209E0;-1.500909448E0;2.195010424E0;2.334690094E-1
5.474486199E0;-1.147171021E0;2.454383135E0;7.611598969E-1
5.491152188E0;4.658372402E-1;1.166184664E0;1.098317623E0
5.507818178E0;6.837399006E-1;4.071195126E-1;9.682273865E-1
5.524484168E0;6.319069862E-1;7.304925919E-1;7.560548782E-1
5.541150157E0;4.808309078E-1;1.130018711E0;7.632093430E-1
5.557816147E0;5.836849213E-1;1.012449265E0;7.564220428E-1
5.574482136E0;1.100698471E0;1.086404324E0;8.769025803E-1
5.591148126E0;1.521392584E0;9.622397423E-1;1.132783890E0
5.607814115E0;1.198619366E0;6.758599281E-1;1.498491764E0
5.624480105E0;1.043676138E0;7.584543228E-1;2.217321873E0
5.641146095E0;5.829215050E-1;1.498645782E0;3.128883362E0
5.657812084E0;5.275325775E-1;2.157872200E0;3.540318966E0
5.674478074E0;1.360586405E0;1.647508144E0;2.953654766E0
5.691144063E0;1.874096870E0;7.252635956E-1;2.511136055E0
5.707810053E0;2.116353035E0;4.281964302E-1;1.935144901E0
5.724476043E0;1.781237841E0;5.302324295E-1;2.171156883E0
5.741142032E0;1.386226416E0;3.868772984E-1;3.405144691E0
5.757808022E0;1.326206684E0;-6.761577129E-1;4.830351830E0
5.774474011E0;1.065715790E0;-2.270050764E0;4.074848175E0
5.791140001E0;8.000016212E-1;-2.389735222E0;2.486750603E0
5.807805990E0;7.290842533E-1;-1.852979302E0;1.296483040E0
5.824471980E0;2.993283272E-1;-1.311374545E0;9.829883575E-1
5.841137970E0;1.612565517E-1;-1.275133729E0;2.781677246E-1
5.857803959E0;-5.319976807E-2;-1.525025129E0;-6.865129471E-1
5.874469949E0;-1.794788837E-1;-1.809408307E0;-1.852272034E0
5.891135938E0;3.902051449E-1;-1.888803124E0;-1.881783485E0
5.907801928E0;1.273076534E-1;-1.372612357E0;-1.164731026E0
5.924467918E0;-5.505802631E-1;-1.020089984E0;-2.047927380E0
5.941133907E0;-1.306289077E0;-1.137252450E0;-1.840769291E0
5.957799897E0;-8.052637577E-1;-7.854802608E-1;-3.217729568E0
